t,x,y,z,roll,pitch,yaw,vx,vy,vz,wx,wy,wz
0.102000,0.01599920,0.00000487,0.51002618,0.00002700,-0.01313736,0.00000933,0.11511250,0.00007613,0.00117175,0.00012308,-0.20852192,0.00013361
0.104000,0.01623045,0.00000502,0.51002856,0.00002724,-0.01355386,0.00000958,0.11714781,0.00007608,0.00123195,0.00011450,-0.20736661,0.00013270
0.106000,0.01646576,0.00000517,0.51003105,0.00002746,-0.01396791,0.00000983,0.11917345,0.00007600,0.00129429,0.00010612,-0.20594251,0.00013165
0.108000,0.01670511,0.00000532,0.51003367,0.00002766,-0.01437899,0.00001008,0.12118941,0.00007588,0.00135897,0.00009791,-0.20424994,0.00013045
0.110000,0.01694850,0.00000548,0.51003642,0.00002784,-0.01478654,0.00001033,0.12319570,0.00007571,0.00142614,0.00008989,-0.20228918,0.00012910
0.112000,0.01719589,0.00000563,0.51003931,0.00002801,-0.01519004,0.00001057,0.12519232,0.00007550,0.00149594,0.00008206,-0.20006048,0.00012761
0.114000,0.01744727,0.00000578,0.51004234,0.00002816,-0.01558894,0.00001081,0.12717927,0.00007524,0.00156851,0.00007443,-0.19756403,0.00012598
0.116000,0.01770261,0.00000593,0.51004551,0.00002830,-0.01598272,0.00001105,0.12915655,0.00007494,0.00164399,0.00006701,-0.19480001,0.00012420
0.118000,0.01796191,0.00000608,0.51004884,0.00002842,-0.01637084,0.00001128,0.13112414,0.00007376,0.00171957,0.00005823,-0.19176821,0.00012222
0.120000,0.01822514,0.00000622,0.51005231,0.00002852,-0.01675276,0.00001152,0.13308206,0.00007168,0.00179532,0.00004807,-0.18846870,0.00012004
0.122000,0.01849228,0.00000637,0.51005594,0.00002860,-0.01712795,0.00001174,0.13503029,0.00007006,0.00187538,0.00003904,-0.18490204,0.00011775
0.124000,0.01876331,0.00000651,0.51005974,0.00002867,-0.01749587,0.00001197,0.13696886,0.00006892,0.00195995,0.00003113,-0.18106830,0.00011536
0.126000,0.01903822,0.00000664,0.51006370,0.00002872,-0.01785599,0.00001218,0.13889774,0.00006773,0.00204803,0.00002338,-0.17696741,0.00011283
0.128000,0.01931697,0.00000678,0.51006784,0.00002876,-0.01820777,0.00001240,0.14081694,0.00006650,0.00213972,0.00001578,-0.17259945,0.00011016
0.130000,0.01959956,0.00000691,0.51007217,0.00002877,-0.01855069,0.00001261,0.14272646,0.00006523,0.00223513,0.00000833,-0.16796455,0.00010735
0.132000,0.01988597,0.00000704,0.51007669,0.00002878,-0.01888420,0.00001281,0.14462631,0.00006392,0.00233434,0.00000101,-0.16306291,0.00010441
0.134000,0.02017616,0.00000717,0.51008141,0.00002877,-0.01920777,0.00001301,0.14651649,0.00006256,0.00243746,-0.00000618,-0.15789488,0.00010134
0.136000,0.02047014,0.00000729,0.51008634,0.00002875,-0.01952088,0.00001320,0.14839703,0.00006116,0.00254457,-0.00001324,-0.15246096,0.00009814
0.138000,0.02076787,0.00000741,0.51009148,0.00002871,-0.01982299,0.00001339,0.15026794,0.00005973,0.00265575,-0.00002018,-0.14676186,0.00009480
0.140000,0.02106934,0.00000753,0.51009685,0.00002866,-0.02011356,0.00001357,0.15212926,0.00005835,0.00277192,-0.00002681,-0.14079873,0.00009134
0.142000,0.02137452,0.00000765,0.51010245,0.00002859,-0.02039208,0.00001374,0.15398104,0.00005705,0.00289320,-0.00003313,-0.13457298,0.00008777
0.144000,0.02168341,0.00000776,0.51010830,0.00002852,-0.02065801,0.00001391,0.15582334,0.00005571,0.00301882,-0.00003932,-0.12808640,0.00008407
0.146000,0.02199597,0.00000787,0.51011440,0.00002843,-0.02091085,0.00001407,0.15765624,0.00005434,0.00314886,-0.00004540,-0.12134150,0.00008025
0.148000,0.02231220,0.00000798,0.51012077,0.00002833,-0.02115006,0.00001422,0.15947984,0.00005294,0.00328337,-0.00005137,-0.11434152,0.00007631
0.150000,0.02263207,0.00000809,0.51012740,0.00002822,-0.02137515,0.00001437,0.16129429,0.00005142,0.00342318,-0.00005738,-0.10709076,0.00007225
0.152000,0.02295556,0.00000819,0.51013432,0.00002809,-0.02158561,0.00001451,0.16309976,0.00004978,0.00356833,-0.00006345,-0.09959452,0.00006808
0.154000,0.02328266,0.00000829,0.51014153,0.00002796,-0.02178096,0.00001464,0.16489646,0.00004811,0.00371815,-0.00006942,-0.09185944,0.00006379
0.156000,0.02361334,0.00000838,0.51014905,0.00002781,-0.02196073,0.00001476,0.16668058,0.00004641,0.00387269,-0.00007529,-0.08388632,0.00005940
0.158000,0.02394759,0.00000847,0.51015687,0.00002765,-0.02212442,0.00001488,0.16844311,0.00004468,0.00403199,-0.00008107,-0.07566809,0.00005490
0.160000,0.02428535,0.00000856,0.51016502,0.00002748,-0.02227155,0.00001499,0.17017533,0.00004292,0.00419608,-0.00008677,-0.06720008,0.00005028
0.162000,0.02462655,0.00000865,0.51017349,0.00002730,-0.02240163,0.00001509,0.17186905,0.00004113,0.00436502,-0.00009239,-0.05848070,0.00004555
0.164000,0.02497112,0.00000873,0.51018231,0.00002711,-0.02251413,0.00001518,0.17351670,0.00003931,0.00453885,-0.00009796,-0.04951155,0.00004070
0.166000,0.02531895,0.00000881,0.51019147,0.00002691,-0.02260858,0.00001526,0.17511133,0.00003746,0.00471761,-0.00010346,-0.04029767,0.00003574
0.168000,0.02566995,0.00000888,0.51020100,0.00002669,-0.02268448,0.00001533,0.17664666,0.00003557,0.00490136,-0.00010892,-0.03084777,0.00003067
0.170000,0.02602399,0.00000895,0.51021090,0.00002647,-0.02274137,0.00001539,0.17811710,0.00003366,0.00509013,-0.00011434,-0.02117450,0.00002549
0.172000,0.02638093,0.00000902,0.51022117,0.00002624,-0.02277880,0.00001544,0.17951783,0.00003224,0.00528556,-0.00011876,-0.01129490,0.00002024
0.174000,0.02674064,0.00000908,0.51023185,0.00002600,-0.02279638,0.00001549,0.18084480,0.00003078,0.00548614,-0.00012315,-0.00123016,0.00001491
0.176000,0.02710297,0.00000914,0.51024292,0.00002575,-0.02279374,0.00001552,0.18209481,0.00002930,0.00569190,-0.00012750,0.00899357,0.00000949
0.178000,0.02746775,0.00000920,0.51025441,0.00002549,-0.02277060,0.00001554,0.18326552,0.00002780,0.00590291,-0.00013182,0.01934512,0.00000400
0.180000,0.02783484,0.00000925,0.51026632,0.00002523,-0.02272669,0.00001555,0.18435545,0.00002626,0.00611922,-0.00013610,0.02978839,-0.00000154
